date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:08	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202023%2008:18:09%20GMT	https://www.whereinwarcraft.net/robots.txt		(from )
09:18:08	5812/5812	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:36:50%20GMT	https://www.whereinwarcraft.net/	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/index.html	(from )
09:18:08	104123/104123	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22196bb-56f4fe3f2e840%22	https://www.whereinwarcraft.net/favicon.ico	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/favicon.ico	(from https://www.whereinwarcraft.net/)
09:18:08	12741/12741	---M-Z	200	added ('OK')	text/css	etag:%2231c5-5bcfb619c4e00-gzip%22	https://www.whereinwarcraft.net/css/style.css	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/css/style.css	(from https://www.whereinwarcraft.net/)
09:18:09	14198/14198	---MCZ	200	added ('OK')	text/css	etag:%223776-V9L3gauLe0HR3V8KUc0ZMAUMqdw%22	https://unpkg.com/leaflet@1.3.1/dist/leaflet.css	C:/Users/Aleks/Documents/My%20Web/123/unpkg.com/leaflet@1.3.1/dist/leaflet.css	(from https://www.whereinwarcraft.net/)
09:18:10	139571/139571	---MCZ	200	added ('OK')	application/javascript	etag:%2222133-K/keLvO71vOeIQv/kGL3PR5k4ew%22	https://unpkg.com/leaflet@1.3.1/dist/leaflet.js	C:/Users/Aleks/Documents/My%20Web/123/unpkg.com/leaflet@1.3.1/dist/leaflet.js	(from https://www.whereinwarcraft.net/)
09:18:10	167268/167268	---M--	200	added ('OK')	text/javascript	etag:988138120417604437	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5929887485300214	C:/Users/Aleks/Documents/My%20Web/123/pagead2.googlesyndication.com/pagead/js/f27d0.txt	(from https://www.whereinwarcraft.net/)
09:18:11	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/Aleks/Documents/My%20Web/123/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.whereinwarcraft.net/)
09:18:11	17041/17041	---M-Z	200	added ('OK')	application/javascript	etag:%224291-5bd1f361c1840-gzip%22	https://www.whereinwarcraft.net/js/game.min.js	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/js/game.min.js	(from https://www.whereinwarcraft.net/)
09:18:11	31507/31507	---M--	200	added ('OK')	image/png	etag:%227b13-5bcde1cb5ee80%22	https://www.whereinwarcraft.net/images/map-selector/map-icon-border.png	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/images/map-selector/map-icon-border.png	(from https://www.whereinwarcraft.net/css/style.css)
09:18:11	5409/5409	---M--	200	added ('OK')	image/png	etag:%221521-5bcddbc72fcc0%22	https://www.whereinwarcraft.net/images/map-selector/achievment_boss_madnessofdeathwing.png	C:/Users/Aleks/Documents/My%20Web/123/www.whereinwarcraft.net/images/map-selector/achievment_boss_madnessofdeathwing.png	(from https://www.whereinwarcraft.net/css/style.css)
